year;south_america;north_america;oceania;asia;africa
201605;0.64;1.34;2.02;1.12;1.10
201606;0.45;1.59;1.54;1.28;1.20
201607;1.08;1.12;1.18;1.15;0.93
201608;1.58;1.17;0.73;1.46;1.06
201609;0.83;1.38;0.22;1.57;1.01
201610;1.07;1.29;0.12;-0.16;1.27
201611;1.00;3.45;0.65;-0.48;1.31
201612;1.15;0.53;0.82;1.71;1.37
201701;1.32;3.14;1.07;1.91;0.63
201702;1.22;2.96;0.75;2.35;0.86
201703;0.85;0.84;1.77;2.91;0.97
201704;0.86;1.24;0.39;1.86;1.24
201705;1.08;0.83;0.96;1.15;1.53
201706;1.19;0.96;0.21;1.08;1.26
201707;1.24;1.13;1.88;1.06;1.29
201708;1.54;0.60;1.19;1.14;1.13
201709;1.29;1.27;1.31;0.90;1.30
201710;1.08;1.21;1.56;0.71;0.67
201711;0.98;0.71;1.03;1.67;0.58
201712;1.00;1.84;1.25;2.00;0.70
201801;0.75;1.46;1.66;1.00;0.58
201802;0.83;-0.06;1.21;1.40;1.18
201803;0.82;1.34;0.98;2.24;1.31
201804;1.34;-0.97;2.47;1.66;1.23
